race_id,coverage_rate
2022_R01,0.5
2022_R02,0.9
2022_R03,0.8
2022_R04,0.95
2022_R05,0.9
2022_R06,0.75
2022_R07,0.7
2022_R08,0.85
2022_R09,0.75
2022_R10,0.75
2022_R11,0.8
2022_R12,0.85
2022_R13,0.85
2022_R14,0.65
2022_R15,0.75
2022_R16,0.85
2022_R17,0.9
2022_R18,0.85
2022_R19,0.9
2022_R20,0.9
2022_R21,0.75
2022_R22,0.65
2023_R01,0.7
2023_R02,0.85
2023_R03,0.65
2023_R04,0.9
2023_R05,0.95
2023_R06,0.8
2023_R07,0.6
2023_R08,0.75
2023_R09,0.6
2023_R10,0.9
2023_R11,0.7
2023_R12,0.8
2023_R13,0.7
2023_R14,0.85
2023_R15,0.8
2023_R16,0.75
2023_R17,0.8
2023_R18,0.65
2023_R19,0.9
2023_R20,0.7
2023_R21,0.75
2023_R22,0.85
2024_R01,0.7
2024_R02,0.9
2024_R03,0.6842105263157895
2024_R04,0.85
2024_R05,0.75
2024_R06,0.95
2024_R07,0.9
2024_R08,0.95
2024_R09,0.65
2024_R10,0.7
2024_R11,0.7
2024_R12,0.5
2024_R13,0.75
2024_R14,0.85
2024_R15,0.8
2024_R16,0.8
2024_R17,0.8
2024_R18,0.85
2024_R19,0.9
2024_R20,0.95
2024_R21,0.7
2024_R22,0.55
2024_R23,0.85
2024_R24,0.8
2025_R01,0.6
2025_R02,0.85
2025_R03,0.85
2025_R04,0.7
2025_R05,0.85
2025_R06,0.85
2025_R07,0.85
2025_R08,0.55
2025_R09,0.8421052631578947
2025_R10,0.6
2025_R11,0.95
2025_R12,0.75
2025_R13,0.65
2025_R14,0.9
2025_R15,0.7
2025_R16,0.85
2025_R17,0.9
2025_R18,0.85
2025_R19,0.9
2025_R20,0.8
2025_R21,0.7
2025_R22,0.95
2025_R23,0.65
2025_R24,0.9
